key,org,Quarter,Util,NPM,GPM,GP_Per_CHead,GF_Per_Chead,NetVar,SubconPerc,LMult,Leverage,Ind_per_Chead,Dir_Per_Chead,TC_per_Chead,NP_per_Chead,Nvar_Perc_Eff,NVar_Perc_Rev,Rev_Budg_Var,GP_Budg_Var,NP_Budg_Var,DirLab_Perc_ProfFees,PropLab_Perc_ProfFees,BDLab_Perc_ProfFees,IndLab_Perc_ProfFees,TLab_Perc_ProfFees
Jan-Mar 2013-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Jan-Mar 2013,61.81%,5.79%,38.26%,77 988.40,203 827.40,-76 672,51.70%,2.6,8.67,66 186,125 839,192 025,11 802,-1.41%,-1.43%,-5.21%,-29.87%,-26.81%,38.43%,1.17%,0.00%,30.19%,69.79%
Jan-Mar 2013-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Jan-Mar 2013,65.16%,-4.11%,51.52%,96 691.30,187 694.10,112 819,9.60%,2.43,13.67,104 404,91 003,195 407,-7 712,1.54%,1.52%,-21.68%,-26.69%,-123.15%,41.14%,1.41%,0.00%,22.03%,64.58%
"Jan-Mar 2013-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Jan-Mar 2013,79.33%,24.38%,38.81%,308 297.00,794 330.50,11 971 272,65.60%,1.85,16,114 604,486 034,600 638,193 693,33.79%,25.26%,85.90%,126.08%,418.33%,53.98%,-1.19%,0.00%,17.56%,70.36%
Jan-Mar 2013-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Jan-Mar 2013,71.67%,10.23%,39.44%,139 338.70,353 314.10,4 511 386,52.80%,2.79,12.79,103 186,213 975,317 162,36 153,8.59%,7.91%,15.63%,24.62%,498.03%,35.89%,1.56%,0.00%,15.14%,52.60%
Jan-Mar 2013-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Jan-Mar 2013,55.60%,20.63%,49.91%,135 585.10,271 640.90,958 095,38.70%,2.62,5.2,79 535,136 056,215 591,56 050,16.43%,14.11%,-13.82%,-17.49%,806.63%,38.20%,3.90%,0.00%,25.02%,67.12%
Jan-Mar 2013-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Jan-Mar 2013,77.24%,6.61%,32.69%,96 203.20,294 270.30,-1 560 198,37.30%,2.07,11.83,76 757,198 067,274 825,19 446,-6.83%,-7.33%,-3.25%,-31.18%,-52.37%,48.25%,0.88%,0.00%,13.46%,62.59%
Jan-Mar 2013-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Jan-Mar 2013,61.90%,21.81%,56.97%,227 355.40,399 064.90,3 326 522,32.20%,3.48,3.9,140 305,171 709,312 014,87 051,21.38%,17.61%,31.21%,57.55%,108.43%,28.76%,0.59%,0.00%,18.58%,47.93%
Apr-Jun 2013-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Apr-Jun 2013,70.09%,-6.55%,43.48%,84 187.20,193 612.40,-516 985,32.20%,2.22,10,96 868,109 425,206 293,-12 681,-8.01%,-8.71%,20.37%,6.15%,61.87%,45.08%,4.51%,0.00%,22.62%,72.22%
Apr-Jun 2013-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Apr-Jun 2013,73.66%,3.73%,53.29%,112 051.30,210 282.20,391 520,13.80%,2.57,15.67,104 212,98 231,202 443,7 839,3.89%,3.75%,-7.51%,-9.85%,-69.77%,38.87%,3.00%,0.00%,14.24%,56.11%
"Apr-Jun 2013-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Apr-Jun 2013,83.21%,26.52%,46.64%,222 198.80,476 419.30,8 860 762,34.30%,3.02,14.5,95 835,254 220,350 056,126 364,42.20%,29.68%,-34.44%,-23.23%,-28.14%,33.11%,0.65%,0.00%,8.22%,41.97%
Apr-Jun 2013-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Apr-Jun 2013,74.99%,3.26%,36.33%,111 462.30,306 763.10,786 042,49.40%,2.35,13.43,101 475,195 301,296 775,9 988,1.37%,1.36%,-6.58%,-6.66%,-54.00%,42.58%,1.80%,0.00%,15.32%,59.69%
